This file is created for TexTools software, Resmat Corp 
ODF file name: solodf.HODF 

B	500	0 
	37.44	95.46	57.21	1
	76.70	77.53	36.15	1
	68.44	34.30	7.73	1
	96.84	85.48	49.62	1
	10.88	57.92	120.61	1
	21.26	67.38	27.72	1
	61.87	37.80	11.56	1
	61.18	42.26	16.25	1
	35.15	70.83	34.66	1
	81.70	28.05	46.08	1
	46.05	13.91	51.58	1
	91.59	74.76	74.31	1
	34.71	34.33	350.89	1
	40.28	94.74	56.42	1
	40.41	39.61	354.68	1
	110.49	63.64	342.95	1
	347.17	51.01	89.32	1
	51.96	93.16	55.79	1
	32.09	18.37	49.91	1
	358.58	37.41	89.93	1
	18.73	52.33	18.40	1
	4.55	47.01	90.62	1
	359.25	72.70	94.02	1
	37.55	30.63	77.97	1
	13.18	50.66	104.20	1
	27.25	60.62	25.46	1
	92.52	96.75	10.00	1
	90.47	79.56	80.27	1
	93.37	90.91	30.61	1
	86.48	89.92	54.10	1
	25.42	99.47	56.97	1
	31.71	63.06	21.81	1
	35.21	73.99	36.30	1
	32.63	96.57	55.83	1
	4.90	23.85	89.92	1
	40.81	63.49	21.03	1
	75.95	26.76	49.36	1
	2.06	54.05	97.74	1
	44.63	35.05	349.23	1
	34.74	94.96	52.25	1
	20.33	37.27	86.18	1
	92.01	88.49	15.96	1
	86.14	63.72	90.01	1
	10.88	39.34	88.75	1
	345.25	48.58	89.57	1
	34.51	95.52	56.52	1
	359.14	88.98	103.15	1
	55.23	29.73	67.47	1
	91.04	93.96	6.29	1
	13.64	70.23	23.11	1
	358.63	69.53	97.32	1
	37.23	95.77	60.26	1
	80.07	90.33	49.62	1
	51.55	70.80	32.43	1
	71.44	26.18	52.78	1
	15.77	50.09	5.36	1
	35.55	94.21	52.79	1
	16.34	57.18	117.51	1
	5.90	56.50	28.43	1
	3.00	25.24	359.47	1
	8.37	30.46	88.15	1
	2.36	53.13	15.48	1
	11.07	50.25	14.49	1
	70.69	26.42	53.72	1
	72.28	8.33	3.10	1
	25.77	56.60	26.59	1
	83.45	27.59	47.21	1
	24.54	25.73	77.75	1
	27.26	62.00	31.69	1
	4.00	51.87	13.96	1
	93.67	93.04	13.20	1
	28.42	65.17	22.61	1
	81.10	89.76	52.14	1
	92.41	81.74	68.29	1
	19.14	55.57	104.27	1
	351.86	20.12	97.27	1
	3.57	51.88	104.54	1
	341.33	8.75	109.80	1
	3.51	25.14	89.50	1
	93.80	22.09	346.40	1
	89.75	90.78	27.38	1
	67.25	37.28	23.33	1
	73.26	83.21	40.48	1
	44.06	23.52	60.86	1
	65.57	90.12	46.44	1
	43.58	92.29	51.51	1
	40.23	20.88	49.04	1
	35.19	41.80	85.99	1
	355.13	55.44	89.97	1
	95.63	96.46	17.52	1
	87.44	27.33	46.92	1
